IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
688,2643,GSI012,15,Reprovado,1,1,1,1,0,1,2,0,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
694,2691,GSI012,74,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
697,2670,GSI012,14,Reprovado,1,1,1,1,1,1,1,1,1,1,2,1,1,0,2,0,0,0,0,0,1,0,2
700,2643,GSI012,81,Aprovado,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
702,2670,GSI012,63,Aprovado,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
709,2073,GSI012,84,Aprovado,1,1,1,1,1,1,2,2,2,1,0,1,1,2,2,2,1,2,2,1,2,1,1
710,2378,GSI012,72,Aprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
712,2378,GSI012,0,Reprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
719,1926,GSI012,76,Aprovado,1,1,1,1,1,1,0,1,1,0,1,1,1,2,2,1,1,1,1,1,1,1,2
721,1926,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
722,2073,GSI012,71,Aprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
723,2168,GSI012,79,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2
725,1926,GSI012,18,Reprovado,1,1,0,1,1,0,0,0,0,1,1,1,0,2,2,1,1,0,0,0,1,1,2
728,1956,GSI012,4,Reprovado,1,1,0,1,2,1,1,2,2,0,2,2,2,2,0,2,0,2,2,0,0,0,2
730,1771,GSI012,75,Aprovado,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,1,1,1,1,1,1,1,2
735,2028,GSI012,65,Aprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1
739,1926,GSI012,17,Reprovado,1,1,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
757,2741,GSI012,62,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
758,2890,GSI012,74,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
768,2391,GSI012,0,Reprovado,1,1,1,1,2,0,0,2,0,0,1,2,2,2,2,2,0,2,2,0,0,0,2
770,2231,GSI012,2,Reprovado,1,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,1,0,0,2
771,2168,GSI012,0,Reprovado,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,2,0,0,0,2
801,1926,GSI012,5,Reprovado,1,1,0,1,1,1,0,0,1,0,1,1,1,2,2,1,1,1,0,0,1,1,2
820,1926,GSI012,65,Aprovado,1,1,1,1,1,1,0,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
847,1771,GSI012,1,Reprovado,1,0,1,0,0,0,1,1,0,0,0,1,0,2,2,1,0,0,0,1,1,1,2
848,2001,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
858,2007,GSI012,10,Reprovado,1,0,0,1,1,0,2,1,0,0,2,2,2,0,2,1,1,2,2,0,1,0,0
