IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
277,1739,GSI017,36,Reprovado,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1
284,1609,GSI017,21,Reprovado,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,2,0,2,0,1,1,1
285,2177,GSI017,73,Aprovado,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1
288,1739,GSI017,92,Aprovado,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1
289,2277,GSI017,15,Reprovado,1,1,2,0,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,0,1,1
305,1593,GSI017,0,Reprovado,1,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,1,2,2,1,2,2,2,2,2,1,0,2,1,1,1,1,2,1,2,1,2,2,0,1,0,0,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,0,2,2,2,2,1,0,2
315,1668,GSI017,69,Aprovado,1,1,1,1,1,1,2,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,2,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,2,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,1,2
316,1593,GSI017,4,Reprovado,1,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,0,2,2,2,2,1,1,2
319,1609,GSI017,66,Aprovado,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1
321,1953,GSI017,66,Aprovado,1,1,1,1,2,1,2,2,0,0,0,2,2,2,2,2,1,2,2,0,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,0,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1
