IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14
400,1907,GSI001,77,Aprovado,1,1,1,1,1,2,2,2,2,1,1,2,1,2
404,1907,GSI001,91,Aprovado,1,1,1,1,1,2,2,2,2,0,1,2,1,2
406,2619,GSI001,100,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
410,2483,GSI001,0,Reprovado,1,0,2,2,0,1,2,2,0,2,2,2,1,1
412,1884,GSI001,72,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
419,2483,GSI001,90,Aprovado,1,1,2,2,1,1,2,2,1,2,2,2,1,1
420,1957,GSI001,88,Aprovado,1,1,0,2,1,0,1,0,2,1,0,2,1,2
421,1992,GSI001,16,Reprovado,1,1,1,0,2,1,2,1,2,1,1,2,1,0
423,2008,GSI001,60,Aprovado,1,1,1,1,1,1,2,2,2,2,1,2,1,1
425,1907,GSI001,88,Aprovado,1,1,1,1,1,2,2,2,2,1,1,2,1,2
427,1946,GSI001,60,Aprovado,1,1,1,2,1,1,2,0,2,1,1,0,1,1
429,1896,GSI001,91,Aprovado,1,1,1,1,1,1,1,2,2,2,2,1,1,1
433,2407,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,1,1,2,0,1,1
434,2328,GSI001,91,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
435,2151,GSI001,0,Reprovado,1,0,0,2,0,2,2,1,2,2,2,2,0,0
437,2151,GSI001,72,Aprovado,1,1,1,2,1,2,2,1,2,2,2,2,1,1
440,1907,GSI001,78,Aprovado,1,1,1,1,1,2,2,2,2,1,1,2,1,2
441,1896,GSI001,61,Aprovado,1,1,0,1,1,1,1,2,2,2,2,1,1,1
442,1896,GSI001,97,Aprovado,1,1,1,1,1,1,1,2,2,2,2,1,1,1
450,2736,GSI001,93,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
452,2483,GSI001,90,Aprovado,1,1,2,2,1,1,2,2,0,2,2,2,1,1
455,2256,GSI001,75,Aprovado,1,1,1,2,2,1,2,1,2,2,2,1,1,1
462,2736,GSI001,75,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
464,2588,GSI001,97,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
468,1886,GSI001,79,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
469,1886,GSI001,79,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
473,2656,GSI001,100,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
474,1884,GSI001,50,Reprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
476,2588,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
478,2483,GSI001,90,Aprovado,1,1,2,2,1,1,2,2,1,2,2,2,1,1
481,2185,GSI001,87,Aprovado,0,1,0,2,1,1,2,1,2,2,2,0,1,1
484,2151,GSI001,68,Aprovado,1,1,1,2,1,2,2,1,2,2,2,2,1,1
488,1957,GSI001,97,Aprovado,1,1,1,2,1,0,1,1,2,1,1,2,1,2
494,1946,GSI001,75,Aprovado,1,1,1,2,1,1,2,0,2,0,1,1,1,1
496,1946,GSI001,94,Aprovado,1,1,1,2,1,1,2,1,2,1,1,1,1,1
