IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
380,1711,GSI018,0,Reprovado,0,2,0,0,2,2,2,0,2,0,0,0,2,0,2,0,2,2,0,2,2,0,2,2,2,2,0,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,2,0,2,2,2,2,2,2,2,0,0,2
382,1718,GSI018,48,Reprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,0,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,2,2,1,1
384,1719,GSI018,68,Aprovado,0,1,1,0,1,2,1,0,1,1,0,0,2,0,2,1,2,2,0,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,0,2,2,1,1,2,1,1,2,0,2,2,2,2,2,2,2,1,1,2
387,1632,GSI018,83,Aprovado,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
390,1634,GSI018,67,Aprovado,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
392,1634,GSI018,68,Aprovado,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,0,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
393,1605,GSI018,74,Aprovado,1,1,1,1,1,2,2,2,2,2,0,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
405,1719,GSI018,75,Aprovado,0,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
406,1824,GSI018,0,Reprovado,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2
409,1602,GSI018,25,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,0,2,2,1,1,2,2,1,0,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,1,2
420,1602,GSI018,82,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,1,2
433,1711,GSI018,66,Aprovado,1,2,1,0,2,2,2,0,2,1,0,1,2,0,2,1,2,2,1,2,2,0,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
437,1686,GSI018,68,Aprovado,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,1,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,1,1
450,2635,GSI018,63,Aprovado,0,1,0,1,1,2,2,2,2,2,1,0,0,2,1,2,2,2,2,1,2,2,1,1,1,1,1,0,2,2,0,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
