IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
584,2879,GSI014,79,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
591,1626,GSI014,3,Reprovado,1,1,0,0,2,0,0,0,0,0,0,2,1,1,2,1,1,2,0,0,0,1,2,0,0,1
592,2666,GSI014,72,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
599,2731,GSI014,60,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
611,1626,GSI014,0,Reprovado,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1
621,2666,GSI014,84,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
626,1645,GSI014,0,Reprovado,1,2,1,1,1,1,0,0,2,1,1,2,0,1,1,1,1,1,0,2,0,0,2,0,1,2
628,2019,GSI014,82,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2
630,1766,GSI014,66,Aprovado,1,2,2,1,1,0,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,0,1,1,2
633,1766,GSI014,0,Reprovado,0,2,2,0,0,0,0,1,0,2,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,2
643,2879,GSI014,79,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
657,2879,GSI014,60,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
659,2157,GSI014,74,Aprovado,1,2,2,2,2,2,1,0,1,2,0,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1
