IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
657,2832,GSI020,68,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
664,1817,GSI020,0,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
676,2744,GSI020,81,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
687,2832,GSI020,90,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
694,2696,GSI020,85,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
697,2527,GSI020,77,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
700,2527,GSI020,83,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
702,2672,GSI020,74,Aprovado,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2
709,1846,GSI020,87,Aprovado,1,1,1,2,1,2,1,2,1,0,1,2,1,1,2,2,1,1,0,1
710,1817,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
718,1864,GSI020,71,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
719,1808,GSI020,87,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,0,2,2,2,2,1,1,1
722,1808,GSI020,76,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,0,2,2,2,2,1,1,1
723,1777,GSI020,86,Aprovado,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
725,1808,GSI020,64,Aprovado,1,2,2,2,2,2,2,1,2,2,1,0,1,2,2,2,2,1,1,1
730,1808,GSI020,89,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,0,2,2,2,2,1,1,1
735,1637,GSI020,65,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
737,1637,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
739,1590,GSI020,80,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
742,1637,GSI020,65,Aprovado,0,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
757,2832,GSI020,73,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
758,2832,GSI020,94,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
768,1817,GSI020,0,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
778,1846,GSI020,78,Aprovado,1,1,1,2,0,2,1,2,0,1,1,2,1,1,2,2,1,1,0,1
782,1753,GSI020,74,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2
801,1808,GSI020,87,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
820,1753,GSI020,63,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2
844,1637,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
847,2672,GSI020,78,Aprovado,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2
858,1590,GSI020,40,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
861,2527,GSI020,63,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
866,2744,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
885,1590,GSI020,65,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
889,1631,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,0,1,1,1,2,1,2
895,2832,GSI020,84,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
899,2672,GSI020,92,Aprovado,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2
911,1777,GSI020,61,Aprovado,1,2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,2,1,1,1
1048,1684,GSI020,70,Aprovado,1,2,1,2,0,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2
1125,1631,GSI020,90,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1144,1590,GSI020,45,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
1150,1864,GSI020,66,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1155,1808,GSI020,83,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
1163,2744,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1168,1631,GSI020,65,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1170,2527,GSI020,82,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1178,1637,GSI020,65,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
1179,1704,GSI020,70,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1190,2696,GSI020,69,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1195,2832,GSI020,95,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1204,1817,GSI020,34,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1209,1846,GSI020,6,Reprovado,1,1,1,2,0,2,0,2,1,1,1,2,1,1,2,2,1,1,1,1
1210,2527,GSI020,87,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1212,1808,GSI020,64,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,0,2,2,2,2,1,1,1
1228,1631,GSI020,0,Reprovado,1,2,1,2,0,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1229,1637,GSI020,100,Aprovado,1,2,0,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
1260,1815,GSI020,80,Aprovado,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
1262,1864,GSI020,68,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1275,1808,GSI020,78,Aprovado,1,2,2,2,2,2,2,0,2,2,1,0,1,2,2,2,2,1,1,1
1285,1684,GSI020,67,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2
1303,1808,GSI020,73,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
1317,2832,GSI020,79,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1319,1590,GSI020,0,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
1321,1777,GSI020,82,Aprovado,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
1325,2037,GSI020,73,Aprovado,0,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
1326,1590,GSI020,70,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
1329,2527,GSI020,71,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1331,1817,GSI020,64,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1341,2696,GSI020,77,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1342,2672,GSI020,78,Aprovado,1,2,2,2,2,1,1,1,2,2,1,0,1,2,2,2,2,2,1,2
1344,2527,GSI020,71,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1345,2394,GSI020,95,Aprovado,1,1,1,0,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1
