IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
243,2623,GSI002,60,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
244,2598,GSI002,28,Reprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
247,2591,GSI002,69,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
248,2591,GSI002,78,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
249,2598,GSI002,39,Reprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
251,2369,GSI002,0,Reprovado,0,2,1,2,2,0,0,0,2,0,2,2,2,0,2,2,2,2,2,0,2,2,0,2
252,2561,GSI002,86,Aprovado,1,2,1,2,2,1,1,0,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,2
253,2553,GSI002,67,Aprovado,1,2,1,2,2,0,1,1,2,0,2,2,2,0,2,2,2,2,2,0,2,2,1,2
254,2505,GSI002,71,Aprovado,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1
255,2413,GSI002,19,Reprovado,1,2,1,2,2,1,1,0,2,0,2,2,2,1,2,2,2,2,2,0,2,2,1,2
256,2505,GSI002,73,Aprovado,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1
257,2406,GSI002,0,Reprovado,1,2,1,2,2,0,1,1,2,0,2,2,2,1,2,2,2,2,2,1,2,2,1,2
261,2379,GSI002,37,Reprovado,1,2,1,2,1,0,1,0,2,1,2,2,2,0,2,2,2,2,2,1,2,0,1,0
262,2453,GSI002,6,Reprovado,1,2,1,2,2,1,1,1,2,0,2,2,2,0,2,2,2,2,2,1,2,2,1,2
271,2331,GSI002,3,Reprovado,0,2,1,2,2,0,0,1,2,1,2,2,2,0,1,2,2,2,2,0,2,0,0,1
272,2101,GSI002,84,Aprovado,1,1,2,2,1,1,0,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1
274,2196,GSI002,75,Aprovado,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1
275,2261,GSI002,0,Reprovado,0,2,1,0,2,0,0,0,2,0,2,2,2,0,0,2,2,2,2,0,0,0,0,0
276,2365,GSI002,60,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2
277,2173,GSI002,81,Aprovado,1,2,2,2,0,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2
280,2011,GSI002,0,Reprovado,0,2,2,2,0,0,0,1,2,0,2,2,2,2,2,2,2,2,2,0,2,0,0,1
284,2335,GSI002,61,Aprovado,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1
285,2335,GSI002,96,Aprovado,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1
287,2186,GSI002,64,Aprovado,1,1,1,1,1,1,0,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1
288,2186,GSI002,97,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1
295,2261,GSI002,0,Reprovado,0,2,0,1,2,0,0,0,2,0,2,2,2,0,0,2,2,2,2,0,0,0,0,0
302,2159,GSI002,44,Reprovado,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1
305,2186,GSI002,67,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1
310,2173,GSI002,60,Aprovado,1,2,2,2,1,1,1,1,2,0,2,2,2,1,2,2,2,2,2,2,2,2,1,2
312,2011,GSI002,0,Reprovado,0,2,2,2,1,0,0,1,2,0,2,2,2,2,2,2,2,2,2,0,2,0,0,1
313,1993,GSI002,81,Aprovado,1,2,2,2,1,0,1,1,2,0,2,2,2,2,2,2,2,2,2,1,2,2,1,2
314,2025,GSI002,9,Reprovado,0,2,2,2,1,0,1,0,2,0,2,2,2,0,2,2,2,2,2,2,2,2,1,2
