IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
452,2485,GSI005,71,Aprovado,1,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
455,2260,GSI005,67,Aprovado,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1
462,1892,GSI005,43,Reprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
464,2590,GSI005,70,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
468,2658,GSI005,60,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
469,2724,GSI005,51,Reprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
473,2658,GSI005,83,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
474,1892,GSI005,71,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
476,2590,GSI005,73,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
481,1582,GSI005,64,Aprovado,0,1,1,1,0,2,1,1,1,2,2,0,1,1,2,2,2,1,1,2
484,1671,GSI005,71,Aprovado,1,1,1,2,1,1,2,2,2,0,2,2,1,1,2,1,2,1,1,2
486,2154,GSI005,10,Reprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,0,0
488,2024,GSI005,76,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
494,1675,GSI005,0,Reprovado,1,1,0,2,1,2,1,1,0,2,2,2,2,0,0,0,2,0,0,2
496,1949,GSI005,94,Aprovado,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1
497,1899,GSI005,69,Aprovado,1,1,1,2,1,1,2,1,1,2,2,2,2,0,2,1,2,1,1,1
499,2724,GSI005,78,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
502,2485,GSI005,61,Aprovado,1,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
506,2724,GSI005,69,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
507,2332,GSI005,39,Reprovado,1,1,2,1,1,1,2,1,2,1,2,2,2,1,0,1,1,0,0,1
511,1981,GSI005,60,Aprovado,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1
513,2093,GSI005,14,Reprovado,1,2,1,0,2,2,2,1,1,2,2,2,0,0,0,2,2,1,0,1
519,2093,GSI005,61,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
522,1671,GSI005,60,Aprovado,1,1,1,2,1,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2
523,2410,GSI005,79,Aprovado,1,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
530,2367,GSI005,27,Reprovado,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1
532,2557,GSI005,60,Aprovado,1,1,2,2,1,2,1,1,1,0,2,2,1,0,1,1,2,1,1,1
538,1961,GSI005,24,Reprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,1,1,1
541,2189,GSI005,63,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
544,2367,GSI005,0,Reprovado,1,1,2,2,1,2,2,1,0,1,2,2,1,1,1,1,2,1,1,0
545,1911,GSI005,48,Reprovado,1,1,1,1,0,1,2,2,2,0,2,2,1,1,0,1,2,1,1,1
549,2590,GSI005,64,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
554,2189,GSI005,72,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
555,2189,GSI005,68,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
557,2189,GSI005,93,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
562,2059,GSI005,61,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
563,2024,GSI005,63,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
569,1996,GSI005,68,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
573,1582,GSI005,8,Reprovado,1,1,1,0,0,2,0,0,0,2,2,0,0,0,2,2,2,0,0,2
577,2367,GSI005,35,Reprovado,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,0
578,2375,GSI005,0,Reprovado,0,0,2,0,0,0,2,0,2,2,0,0,2,0,2,0,2,0,0,0
580,2260,GSI005,20,Reprovado,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1
581,2326,GSI005,23,Reprovado,1,1,2,2,0,2,2,1,0,2,2,2,1,1,1,1,2,1,1,1
584,2738,GSI005,84,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
585,1582,GSI005,60,Aprovado,1,1,0,1,0,2,0,0,1,2,2,0,1,1,2,2,2,1,1,2
591,1641,GSI005,11,Reprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,2
592,1892,GSI005,87,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
596,1899,GSI005,65,Aprovado,1,1,1,2,1,1,2,0,1,2,2,2,2,1,2,0,2,1,1,1
599,2724,GSI005,66,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
600,2658,GSI005,27,Reprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
604,2332,GSI005,0,Reprovado,0,0,2,1,1,1,2,1,2,1,2,2,2,1,0,1,1,0,1,1
611,1981,GSI005,19,Reprovado,1,1,1,1,1,2,1,2,0,2,2,2,1,0,0,0,2,1,1,1
612,2059,GSI005,74,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
