IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2
1330,1954,GSI002,63,Aprovado,1,1
1331,2456,GSI002,100,Aprovado,1,2
1332,2482,GSI002,56,Reprovado,1,2
1333,1916,GSI002,81,Aprovado,1,1
1334,2173,GSI002,0,Reprovado,1,2
1336,2152,GSI002,51,Reprovado,1,2
1338,2005,GSI002,84,Aprovado,1,2
1341,2702,GSI002,92,Aprovado,1,2
1342,2702,GSI002,87,Aprovado,1,2
1343,2591,GSI002,65,Aprovado,1,2
1344,2623,GSI002,99,Aprovado,1,2
1345,2561,GSI002,69,Aprovado,1,2
1347,2329,GSI002,57,Reprovado,0,1
1352,2659,GSI002,6,Reprovado,1,2
1354,2623,GSI002,96,Aprovado,1,2
1356,2493,GSI002,74,Aprovado,1,2
1357,2329,GSI002,76,Aprovado,1,1
1358,2329,GSI002,31,Reprovado,1,1
1365,2735,GSI002,87,Aprovado,1,2
1368,2721,GSI002,0,Reprovado,1,2
1370,2623,GSI002,66,Aprovado,1,2
1371,2329,GSI002,97,Aprovado,1,1
1377,2159,GSI002,32,Reprovado,1,1
1378,2056,GSI002,96,Aprovado,1,2
1379,2060,GSI002,0,Reprovado,1,2
1391,1966,GSI002,17,Reprovado,1,1
1396,1890,GSI002,71,Aprovado,1,1
1398,2735,GSI002,0,Reprovado,1,2
1403,2591,GSI002,21,Reprovado,1,2
1404,2377,GSI002,0,Reprovado,0,2
1406,2335,GSI002,72,Aprovado,0,1
1409,1917,GSI002,0,Reprovado,0,0
1416,2456,GSI002,60,Aprovado,1,2
1417,2423,GSI002,14,Reprovado,0,1
1420,2025,GSI002,60,Aprovado,1,2
1421,2060,GSI002,0,Reprovado,1,2
1426,2623,GSI002,66,Aprovado,1,2
1429,2381,GSI002,66,Aprovado,1,2
1431,2025,GSI002,60,Aprovado,1,2
1432,1966,GSI002,42,Reprovado,1,0
1433,2011,GSI002,86,Aprovado,1,2
1435,2406,GSI002,0,Reprovado,1,2
1437,2282,GSI002,82,Aprovado,1,1
1443,2712,GSI002,69,Aprovado,1,2
1444,2561,GSI002,90,Aprovado,1,2
1451,1917,GSI002,8,Reprovado,0,0
1452,1908,GSI002,30,Reprovado,1,1
1455,2406,GSI002,15,Reprovado,1,2
1456,1993,GSI002,95,Aprovado,0,2
1459,2005,GSI002,76,Aprovado,1,2
1463,2026,GSI002,89,Aprovado,1,2
1467,2056,GSI002,77,Aprovado,1,2
1468,2598,GSI002,45,Reprovado,1,2
1469,2331,GSI002,9,Reprovado,0,2
1470,2060,GSI002,60,Aprovado,1,2
1471,2025,GSI002,82,Aprovado,1,2
1472,2196,GSI002,0,Reprovado,1,1
1475,2196,GSI002,95,Aprovado,1,1
1477,2005,GSI002,69,Aprovado,1,2
1478,1908,GSI002,0,Reprovado,1,1
1479,1917,GSI002,84,Aprovado,1,1
1487,2598,GSI002,100,Aprovado,1,2
1488,2423,GSI002,18,Reprovado,1,1
1489,2365,GSI002,23,Reprovado,1,2
1490,2453,GSI002,82,Aprovado,1,2
1494,1890,GSI002,84,Aprovado,1,1
1495,1890,GSI002,13,Reprovado,1,1
1496,1916,GSI002,84,Aprovado,1,1
1497,2721,GSI002,60,Aprovado,1,2
1500,1947,GSI002,63,Aprovado,1,1
1501,1908,GSI002,32,Reprovado,1,1
1507,2186,GSI002,96,Aprovado,1,1
1508,2025,GSI002,61,Aprovado,1,2
1509,2095,GSI002,0,Reprovado,1,2
1514,1900,GSI002,23,Reprovado,0,1
1516,2721,GSI002,93,Aprovado,1,2
1521,2591,GSI002,28,Reprovado,1,2
1524,2559,GSI002,0,Reprovado,1,2
1525,2505,GSI002,81,Aprovado,1,1
1526,2598,GSI002,92,Aprovado,1,2
1528,2331,GSI002,0,Reprovado,0,2
1530,2379,GSI002,77,Aprovado,1,2
1532,2456,GSI002,0,Reprovado,1,2
1534,2381,GSI002,15,Reprovado,1,2
1535,2011,GSI002,0,Reprovado,1,2
1537,2261,GSI002,0,Reprovado,0,2
1538,2095,GSI002,5,Reprovado,1,2
1540,2025,GSI002,64,Aprovado,1,2
1543,1917,GSI002,0,Reprovado,0,0
1544,1962,GSI002,26,Reprovado,1,2
1548,1966,GSI002,76,Aprovado,1,1
1549,1966,GSI002,86,Aprovado,1,1
1552,1908,GSI002,70,Aprovado,1,1
1555,1900,GSI002,0,Reprovado,1,1
1556,1890,GSI002,0,Reprovado,1,1
1561,2721,GSI002,64,Aprovado,1,2
1562,2721,GSI002,73,Aprovado,1,2
1565,2591,GSI002,76,Aprovado,1,2
1567,2379,GSI002,0,Reprovado,1,2
1568,2026,GSI002,7,Reprovado,0,2
1573,2101,GSI002,9,Reprovado,1,1
1574,2056,GSI002,60,Aprovado,1,2
1575,2591,GSI002,44,Reprovado,1,2
1576,2379,GSI002,0,Reprovado,1,2
1580,2677,GSI002,65,Aprovado,1,2
1584,1890,GSI002,10,Reprovado,1,1
1585,2173,GSI002,78,Aprovado,1,2
1588,2365,GSI002,46,Reprovado,1,2
1591,2591,GSI002,82,Aprovado,1,2
1594,1993,GSI002,12,Reprovado,0,2
1601,1954,GSI002,0,Reprovado,1,1
1608,2159,GSI002,0,Reprovado,1,0
1611,2025,GSI002,19,Reprovado,0,2
1613,2369,GSI002,0,Reprovado,0,2
1614,1908,GSI002,37,Reprovado,1,1
1615,2735,GSI002,67,Aprovado,1,2
1617,2630,GSI002,53,Reprovado,1,2
1620,2424,GSI002,0,Reprovado,1,2
1621,2553,GSI002,76,Aprovado,1,2
1622,2186,GSI002,60,Aprovado,1,1
1625,2060,GSI002,76,Aprovado,1,2
1628,2152,GSI002,83,Aprovado,1,2
1630,2056,GSI002,97,Aprovado,1,2
1631,1890,GSI002,0,Reprovado,1,1
1643,2735,GSI002,98,Aprovado,1,2
1655,2659,GSI002,0,Reprovado,1,2
1656,2482,GSI002,80,Aprovado,1,2
1660,2553,GSI002,72,Aprovado,1,2
1661,2553,GSI002,71,Aprovado,1,2
1663,2406,GSI002,67,Aprovado,1,2
1666,2453,GSI002,81,Aprovado,1,2
1669,2011,GSI002,67,Aprovado,1,2
1670,1962,GSI002,15,Reprovado,1,2
1683,2025,GSI002,0,Reprovado,0,2
1684,2095,GSI002,60,Aprovado,1,2
1686,2090,GSI002,72,Aprovado,1,2
1687,2090,GSI002,79,Aprovado,1,2
1690,1954,GSI002,62,Aprovado,0,1
1691,1954,GSI002,80,Aprovado,1,1
1693,1890,GSI002,79,Aprovado,1,1
1697,2026,GSI002,67,Aprovado,1,2
1701,1908,GSI002,0,Reprovado,1,1
1702,1900,GSI002,8,Reprovado,0,1
1703,1900,GSI002,3,Reprovado,1,1
1838,2735,GSI002,60,Aprovado,1,2
1839,2721,GSI002,71,Aprovado,1,2
1840,2721,GSI002,70,Aprovado,1,2
1841,2735,GSI002,63,Aprovado,1,2
1842,2735,GSI002,81,Aprovado,1,2
1843,2735,GSI002,100,Aprovado,1,2
1844,2735,GSI002,71,Aprovado,1,2
1847,2735,GSI002,60,Aprovado,1,2
1848,2712,GSI002,74,Aprovado,1,2
1849,2735,GSI002,66,Aprovado,1,2
1850,2735,GSI002,100,Aprovado,1,2
1851,2735,GSI002,60,Aprovado,1,2
1852,2735,GSI002,100,Aprovado,1,2
1853,2712,GSI002,78,Aprovado,1,2
1854,2735,GSI002,79,Aprovado,1,2
1855,2735,GSI002,99,Aprovado,1,2
1856,2721,GSI002,60,Aprovado,1,2
1857,2702,GSI002,61,Aprovado,1,2
1858,2735,GSI002,60,Aprovado,1,2
1859,2735,GSI002,68,Aprovado,1,2
1860,2735,GSI002,77,Aprovado,1,2
1861,2735,GSI002,75,Aprovado,1,2
1862,2735,GSI002,62,Aprovado,1,2
1863,2735,GSI002,74,Aprovado,1,2
1864,2735,GSI002,78,Aprovado,1,2
1868,2735,GSI002,76,Aprovado,1,2
1869,2721,GSI002,60,Aprovado,1,2
1870,2659,GSI002,0,Reprovado,1,2
1871,2721,GSI002,0,Reprovado,1,2
1872,2735,GSI002,61,Aprovado,1,2
1873,2735,GSI002,100,Aprovado,1,2
1886,2721,GSI002,91,Aprovado,1,2
1889,2702,GSI002,0,Reprovado,1,2
1890,2659,GSI002,17,Reprovado,1,2
1891,2712,GSI002,61,Aprovado,1,2
1892,2721,GSI002,83,Aprovado,1,2
1893,2721,GSI002,63,Aprovado,1,2
