IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
450,2889,GSI007,74,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2
452,2384,GSI007,0,Reprovado,1,1,2,1,1,1,1,0,0,1,1,0,0,1,1,2,2,2,2,0,0,0,0,1,0,2
462,1893,GSI007,58,Reprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
464,2384,GSI007,0,Reprovado,1,1,2,1,1,1,1,0,0,1,1,1,0,1,1,2,2,2,2,0,0,0,0,1,0,2
468,1893,GSI007,51,Reprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
469,1893,GSI007,51,Reprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
473,2662,GSI007,74,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
474,2491,GSI007,60,Aprovado,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,1
476,2593,GSI007,94,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
481,1904,GSI007,3,Reprovado,1,1,2,1,2,0,1,1,1,0,2,0,0,1,0,0,1,2,2,2,0,0,2,0,0,0
496,1922,GSI007,98,Aprovado,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,2
502,2491,GSI007,60,Aprovado,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,1
506,1893,GSI007,66,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
511,1999,GSI007,60,Aprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1
519,2094,GSI007,70,Aprovado,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2
522,2016,GSI007,3,Reprovado,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,0,2,2,1,1,1,2,1,0,1
523,2412,GSI007,93,Aprovado,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1
528,2016,GSI007,0,Reprovado,1,2,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,1
529,1904,GSI007,0,Reprovado,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0
530,2094,GSI007,16,Reprovado,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2
532,2513,GSI007,62,Aprovado,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,0,1,1,1,1,1,1
544,2017,GSI007,0,Reprovado,0,2,2,2,2,0,0,0,0,2,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2
545,1904,GSI007,60,Aprovado,1,1,2,1,2,1,1,1,0,1,2,1,1,1,1,0,1,2,2,2,1,0,2,1,1,1
549,2593,GSI007,100,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
554,2191,GSI007,86,Aprovado,1,2,2,1,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2
555,2191,GSI007,61,Aprovado,1,2,2,0,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2
557,2191,GSI007,100,Aprovado,1,2,2,1,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2
562,2017,GSI007,73,Aprovado,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,0,1,2
563,2016,GSI007,27,Reprovado,1,2,1,1,1,0,1,1,1,1,2,0,1,0,2,0,1,2,2,0,1,1,2,1,1,1
569,1965,GSI007,23,Reprovado,1,1,2,1,0,1,1,0,0,1,1,2,1,0,0,0,0,0,2,2,0,0,0,0,1,2
