IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,16,17,20,23,24,25
668,1933,GSI016,12,Reprovado,0,2,1,2,0,2,2,2,2,2,2,0,2,2,0,1,1
669,1659,GSI016,11,Reprovado,1,2,1,2,1,2,2,2,1,0,0,0,2,2,0,1,0
676,2833,GSI016,72,Aprovado,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2
687,2891,GSI016,73,Aprovado,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1
694,2845,GSI016,65,Aprovado,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1
697,1736,GSI016,84,Aprovado,0,2,0,2,1,2,2,1,2,2,2,0,1,1,1,1,1
700,2634,GSI016,89,Aprovado,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,1
702,2667,GSI016,69,Aprovado,1,2,1,2,1,2,2,2,2,1,2,0,1,1,1,1,1
704,2427,GSI016,10,Reprovado,1,2,1,2,0,2,2,0,2,0,2,0,0,0,0,0,2
709,2398,GSI016,89,Aprovado,1,2,1,2,1,2,2,1,2,1,2,1,1,0,1,1,2
710,2287,GSI016,85,Aprovado,0,2,0,2,1,2,2,1,1,2,2,1,1,1,1,1,1
712,2195,GSI016,15,Reprovado,1,1,1,1,0,1,1,0,0,2,1,0,2,2,0,1,0
718,2427,GSI016,69,Aprovado,1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2
719,2287,GSI016,71,Aprovado,0,2,1,2,1,2,2,1,1,2,2,0,1,1,0,1,1
722,1659,GSI016,64,Aprovado,1,2,1,2,1,2,2,2,1,0,1,0,2,2,0,1,1
723,2195,GSI016,85,Aprovado,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1
725,2195,GSI016,72,Aprovado,1,0,1,1,1,0,1,0,1,2,1,1,2,2,1,1,0
728,1726,GSI016,34,Reprovado,1,2,0,2,1,2,2,2,1,1,2,0,2,1,0,1,1
730,2068,GSI016,83,Aprovado,1,1,0,1,1,1,2,1,1,2,1,2,2,2,1,1,2
735,1627,GSI016,70,Aprovado,1,2,1,2,1,2,2,2,1,0,1,1,2,2,1,1,1
737,1627,GSI016,61,Aprovado,1,2,0,2,1,2,2,2,0,0,1,0,2,2,1,1,0
739,1726,GSI016,62,Aprovado,1,2,0,2,1,2,2,2,1,1,2,1,2,1,1,1,1
742,1627,GSI016,71,Aprovado,0,2,0,2,1,2,2,2,1,1,0,1,2,2,1,1,0
743,1726,GSI016,30,Reprovado,0,2,1,2,1,2,2,2,1,0,2,1,2,1,0,1,1
757,2891,GSI016,79,Aprovado,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1
758,2891,GSI016,78,Aprovado,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1
