"ID_MATRICULA";"datamatricula";"qtdhorasdia";"modalidadeidmodalidade";"datafinalizacao"
2527;"2017-09-14";"06:00:00";"3";
2132;"2017-09-14";"08:00:00";"2";"2018-01-04"
2878;"2017-09-13";"08:00:00";"2";"2018-04-12"
566;"2017-09-13";"06:00:00";"3";
2480;"2017-09-11";"06:00:00";"3";
2230;"2017-09-11";"06:00:00";"3";"2018-01-04"
1492;"2017-09-06";"06:00:00";"3";
288;"2017-09-06";"08:00:00";"2";"2018-01-18"
2371;"2017-09-06";"06:00:00";"3";
742;"2017-09-06";"06:00:00";"3";
2355;"2017-09-06";"06:00:00";"3";
2590;"2017-08-30";"06:00:00";"3";
2759;"2017-08-30";"06:00:00";"3";
2469;"2017-08-23";"08:00:00";"2";"2018-05-09"
2572;"2017-08-23";"06:00:00";"3";"2018-01-25"
1267;"2017-08-17";"06:00:00";"3";"2017-12-20"
96;"2017-08-17";"06:00:00";"3";
2781;"2017-08-07";"06:00:00";"3";
1523;"2017-08-03";"06:00:00";"2";"2017-11-09"
2131;"2017-08-02";"08:00:00";"2";"2017-12-14"
3150;"2017-08-02";"08:00:00";"2";"2017-12-13"
1658;"2017-07-28";"08:00:00";"2";"2017-11-30"
2458;"2017-07-27";"06:00:00";"3";
272;"2017-07-27";"06:00:00";"3";"2017-12-20"
2326;"2017-07-27";"06:00:00";"3";"2018-04-26"
2023;"2017-07-27";"08:00:00";"2";"2017-11-30"
289;"2017-07-26";"06:00:00";"3";
1465;"2017-07-26";"06:00:00";"3";
2353;"2017-07-24";"06:00:00";"3";
2543;"2017-07-24";"06:00:00";"3";
1408;"2017-07-20";"06:00:00";"3";
102;"2017-07-19";"06:00:00";"3";"2018-02-28"
1321;"2017-07-19";"06:00:00";"3";"2018-02-27"
801;"2017-07-13";"06:00:00";"3";"2018-01-16"
1320;"2017-07-13";"06:00:00";"3";
1152;"2017-07-12";"06:00:00";"3";
1319;"2017-07-03";"06:00:00";"3";"2018-02-14"
149;"2017-06-28";"06:00:00";"3";"2017-12-19"
1427;"2017-06-22";"06:00:00";"2";"2017-11-28"
723;"2017-06-22";"06:00:00";"3";"2018-02-14"
2553;"2017-06-21";"06:00:00";"3";"2018-01-26"
2457;"2017-06-14";"06:00:00";"3";
1644;"2017-06-14";"06:00:00";"3";
2678;"2017-06-09";"06:00:00";"3";"2018-02-20"
2311;"2017-06-07";"05:00:00";"3";
2708;"2017-06-05";"05:00:00";"3";
730;"2017-06-01";"06:00:00";"3";"2018-01-11"
167;"2017-06-01";"04:00:00";"3";
151;"2017-05-31";"06:00:00";"3";
2258;"2017-05-25";"06:00:00";"3";"2017-08-03"
1998;"2017-05-25";"08:00:00";"2";"2017-08-23"
2175;"2017-05-24";"06:00:00";"3";"2017-10-11"
71;"2017-05-22";"06:00:00";"3";"2017-11-22"
1536;"2017-05-17";"06:00:00";"3";
1999;"2017-05-17";"08:00:00";"2";"2017-07-26"
720;"2017-05-17";"06:00:00";"3";"2017-07-26"
2542;"2017-05-15";"04:00:00";"3";
1437;"2017-05-11";"04:00:00";"3";"2017-12-07"
2405;"2017-05-08";"04:00:00";"1";"2017-09-13"
1623;"2017-05-03";"05:00:00";"3";
2310;"2017-05-03";"05:00:00";"3";"2017-07-27"
669;"2017-05-03";"06:00:00";"3";
1434;"2017-05-03";"04:00:00";"3";
387;"2017-05-03";"04:00:00";"3";"2017-12-13"
729;"2017-05-02";"06:00:00";"3";"2019-02-28"
2138;"2017-04-28";"06:00:00";"3";"2017-08-17"
2243;"2017-04-27";"08:00:00";"2";"2017-12-06"
2290;"2017-04-26";"08:00:00";"2";"2017-08-30"
1465;"2017-04-26";"06:00:00";"3";"2017-07-20"
